index,상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도,longitude,latitude
60387,MA0101202301A0016200,희야,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,30,대전광역시,30140,중구,30140575,대흥동,3014010500,대흥동,3014010500102480000,1,대지,248,,대전광역시 중구 대흥동 248,301404295565.0,대전광역시 중구 중앙로130번길,40.0,,3014010500102480000013844,,대전광역시 중구 중앙로130번길 40,301804,34915,,1,,127.425043090644,36.3263607891541,127.425042312822,36.3263667707802
60389,MA0101202301A0074213,아방궁가요주점,,I2,음식,I211,주점,I21101,일반 유흥 주점,I56211,일반 유흥 주점업,30,대전광역시,30140,중구,30140700,유천1동,3014011500,유천동,3014011500103350004,1,대지,335,4.0,대전광역시 중구 유천동 335-4,301403165005.0,대전광역시 중구 당디로,121.0,,3014011500103350004021720,,대전광역시 중구 당디로 121,301837,34978,,1,,127.39082136414,36.3157097032472,127.390819137141,36.3157116869499
60411,MA0101202301A0013460,긴자료코대전,대흥점,I2,음식,I203,일식,I20302,일식 카레/돈가스/덮밥,I56111,한식 일반 음식점업,30,대전광역시,30140,중구,30140575,대흥동,3014010500,대흥동,3014010500102050001,1,대지,205,1.0,대전광역시 중구 대흥동 205-1,301403164033.0,대전광역시 중구 중앙로,126.0,,3014010500102050001016220,,대전광역시 중구 중앙로 126,301802,34913,,,,127.424120334856,36.3276451409227,127.424113850923,36.327645144192
60415,MA0101202303A0069195,무루카페,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,30,대전광역시,30140,중구,30140740,산성동,3014011800,사정동,3014011800104590003,1,대지,459,3.0,대전광역시 중구 사정동 459-3,301403010010.0,대전광역시 중구 산서로,15.0,,3014011800104590003000001,,대전광역시 중구 산서로 15,301819,35081,,1,,127.382890741263,36.2961207952579,127.382886048451,36.2961257561087
60448,MA0101202303A0008556,큰집닭강정,,I2,음식,I210,기타 간이,I21006,치킨,I56111,한식 일반 음식점업,30,대전광역시,30140,중구,30140700,유천1동,3014011500,유천동,3014011500103220001,1,대지,322,1.0,대전광역시 중구 유천동 322-1,301404295618.0,대전광역시 중구 태평로44번길,27.0,,3014011500103220001024002,현암에버드림아파트,대전광역시 중구 태평로44번길 27,301835,34887,,1,,127.394140888047,36.3213503988192,127.394418956426,36.3214730886884
60459,MA0101202303A0092248,애주가술안주,전문점,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,30,대전광역시,30140,중구,30140640,부사동,3014011100,부사동,3014011100101460006,1,대지,146,6.0,대전광역시 중구 부사동 146-6,301403165017.0,대전광역시 중구 부용로,5.0,,3014011100101460006006272,,대전광역시 중구 부용로 5,301815,35047,,,,127.431633352142,36.3130176698241,127.431633061447,36.3130230223987
60461,MA0101202303A0079640,365마라탕,,I2,음식,I202,중식,I20202,마라탕/훠궈,I56121,중식 음식점업,30,대전광역시,30140,중구,30140535,은행선화동,3014010100,은행동,3014010100100330003,1,대지,33,3.0,대전광역시 중구 은행동 33-3,301404295158.0,대전광역시 중구 대종로480번길,29.0,,3014010100100330003013178,,대전광역시 중구 대종로480번길 29,301839,34921,,2,,127.428138529808,36.3280069089097,127.428134114443,36.328010477184
60465,MA0101202303A0027365,만년닭강정대전야구장점,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,30,대전광역시,30140,중구,30140630,대사동,3014011000,대사동,3014011000100840017,1,대지,84,17.0,대전광역시 중구 대사동 84-17,301403010018.0,대전광역시 중구 충무로,104.0,1.0,3014011000100840017025905,,대전광역시 중구 충무로 104-1,301801,35021,,,,127.428568429469,36.3179419440979,127.428567371289,36.3179464669139
60466,MA0101202303A0039018,각설이,,I2,음식,I211,주점,I21103,생맥주 전문,I56213,생맥주 전문점,30,대전광역시,30140,중구,30140740,산성동,3014011800,사정동,3014011800103950004,1,대지,395,4.0,대전광역시 중구 사정동 395-4,301403000093.0,대전광역시 중구 대둔산로,310.0,5.0,3014011800103950004032239,,대전광역시 중구 대둔산로 310-5,301819,35057,,2,,127.385089507066,36.2968441159144,127.385087063015,36.2968468433762
60480,MA0101202303A0107717,은행선화동복지만두레,,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,,,30,대전광역시,30140,중구,30140535,은행선화동,3014010200,선화동,3014010200101940001,1,대지,194,1.0,대전광역시 중구 선화동 194-1,301404295367.0,대전광역시 중구 보문로337번길,33.0,,3014010200101940001000001,은행선화동행정복지센터,대전광역시 중구 보문로337번길 33,301825,34846,,,,127.416666922085,36.3324036686369,127.416664233728,36.3324121665772
60483,MA0101202303A0079204,신가네매운떡볶이대흥,은행점,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,30,대전광역시,30140,중구,30140575,대흥동,3014010500,대흥동,3014010500105080077,1,대지,508,77.0,대전광역시 중구 대흥동 508-77,301403164032.0,대전광역시 중구 보문로,227.0,,3014010500105080077021567,,대전광역시 중구 보문로 227,301805,34941,,1,,127.422706606349,36.3230058729464,127.422704270518,36.3229927629606
60508,MA0101202303A0102477,배추짬뽕,,I2,음식,I202,중식,I20201,중국집,I56111,한식 일반 음식점업,30,대전광역시,30140,중구,30140740,산성동,3014011800,사정동,3014011800104940003,1,대지,494,3.0,대전광역시 중구 사정동 494-3,301403010010.0,대전광역시 중구 산서로,38.0,,3014011800104940003011738,,대전광역시 중구 산서로 38,301819,35074,,1,,127.385177057048,36.295618856459,127.385172090271,36.2956185274811
60516,MA0101202303A0119468,쌈마이대패,중촌점,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,30,대전광역시,30140,중구,30140560,중촌동,3014010400,중촌동,3014010400103910003,1,대지,391,3.0,대전광역시 중구 중촌동 391-3,301403010004.0,대전광역시 중구 대종로,624.0,,3014010400103910003024868,문화빌딩,대전광역시 중구 대종로 624,301841,34804,,1,,127.416075369359,36.3370422323495,127.416072518951,36.3370475349601
60517,MA0101202303A0113495,산호초,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,30,대전광역시,30140,중구,30140535,은행선화동,3014010200,선화동,3014010200102360005,1,대지,236,5.0,대전광역시 중구 선화동 236-5,301404295162.0,대전광역시 중구 대종로517번길,36.0,,3014010200102360005022869,,대전광역시 중구 대종로517번길 36,301822,34836,,2,,127.422438512678,36.329151133324,127.422428381333,36.3291548166231
60523,MA0101202303A0088502,불닭발땡초동대문엽기떡볶이,태평점,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56111,한식 일반 음식점업,30,대전광역시,30140,중구,30140700,유천1동,3014011500,유천동,3014011500103240007,1,대지,324,7.0,대전광역시 중구 유천동 324-7,301403165041.0,대전광역시 중구 태평로,32.0,,3014011500103240007017005,,대전광역시 중구 태평로 32,301835,34887,,1,,127.392728743128,36.3196218384994,127.392718315722,36.319625413376
60535,MA0101202303A0107888,나드리김밥,,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56112,한식 면 요리 전문점,30,대전광역시,30140,중구,30140740,산성동,3014011900,안영동,3014011900103710001,1,대지,371,1.0,대전광역시 중구 안영동 371-1,301403000093.0,대전광역시 중구 대둔산로,159.0,,3014011900103710001000001,,대전광역시 중구 대둔산로 159,301819,35085,,2,,127.376494178294,36.2856690753448,127.376488340022,36.2856744940112
60548,MA0101202303A0073236,현대옥,오류점,I2,음식,I201,한식,I20102,국/탕/찌개류,I56111,한식 일반 음식점업,30,대전광역시,30140,중구,30140670,오류동,3014011300,오류동,3014011300101540006,1,대지,154,6.0,대전광역시 중구 오류동 154-6,301403000095.0,대전광역시 중구 계백로,1715.0,,3014011300101540006024744,,대전광역시 중구 계백로 1715,301828,34909,,,,127.409838779952,36.3220778325108,127.409838678717,36.3220788042609
60552,MA0101202303A0084507,핑크몽키,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,30,대전광역시,30140,중구,30140575,대흥동,3014010500,대흥동,3014010500103650033,1,대지,365,33.0,대전광역시 중구 대흥동 365-33,301403165027.0,대전광역시 중구 수도산로,23.0,,3014010500103650033012230,,대전광역시 중구 수도산로 23,301805,34932,,1,,127.426722214664,36.3206458843984,127.42672089318,36.3206516504494
60562,MA0101202303A0069238,애플꼬마김밥,유천점,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,30,대전광역시,30140,중구,30140710,유천2동,3014011500,유천동,3014011500102030001,1,대지,203,1.0,대전광역시 중구 유천동 203-1,301404295043.0,대전광역시 중구 계백로1615번길,47.0,,3014011500102030001008623,,대전광역시 중구 계백로1615번길 47,301842,34897,,1,,127.398598341765,36.3210124056936,127.398591715723,36.3210164079741
60592,MA0101202303A0103506,대전은행빽다방,2호점,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,30,대전광역시,30140,중구,30140535,은행선화동,3014010100,은행동,3014010100100660001,1,대지,66,1.0,대전광역시 중구 은행동 66-1,301404295158.0,대전광역시 중구 대종로480번길,56.0,,3014010100100660068009053,,대전광역시 중구 대종로480번길 56,301839,34923,,,,127.429639823454,36.3283295210299,127.429635730976,36.3283341086083
60597,MA0101202303A0087957,황제명태본가,,I2,음식,I201,한식,I20112,해산물 구이/찜,I56111,한식 일반 음식점업,30,대전광역시,30140,중구,30140710,유천2동,3014011500,유천동,3014011500102120003,1,대지,212,3.0,대전광역시 중구 유천동 212-3,301403165035.0,대전광역시 중구 유천로,57.0,,3014011500102120003024667,,대전광역시 중구 유천로 57,301836,34973,,1,,127.397533026431,36.3176183253663,127.397474798201,36.3176247547191
60611,MA0101202303A0094378,오복식당,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,30,대전광역시,30140,중구,30140535,은행선화동,3014010100,은행동,3014010100100180010,1,대지,18,10.0,대전광역시 중구 은행동 18-10,301404295292.0,대전광역시 중구 목척8길,12.0,,3014010100100180010013230,,대전광역시 중구 목척8길 12,301838,34832,,1,,127.427746074535,36.3298886521261,127.427742780782,36.3298897501014
60614,MA0101202303A0105806,케이식당,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,30,대전광역시,30140,중구,30140670,오류동,3014011300,오류동,3014011300101530009,1,대지,153,9.0,대전광역시 중구 오류동 153-9,301404295020.0,대전광역시 중구 계룡로882번길,22.0,,3014011300101530009025285,,대전광역시 중구 계룡로882번길 22,301828,34909,,2,,127.410402210856,36.3226844533021,127.41046896663,36.3226894427183
60618,MA0101202303A0096149,곱분이곱창,,I2,음식,I201,한식,I20109,곱창 전골/구이,I56111,한식 일반 음식점업,30,대전광역시,30140,중구,30140700,유천1동,3014011500,유천동,3014011500103230011,1,대지,323,11.0,대전광역시 중구 유천동 323-11,301404295035.0,대전광역시 중구 계백로1565번길,54.0,,3014011500103230011008671,,대전광역시 중구 계백로1565번길 54,301835,34887,,1,,127.393405413425,36.3199677505772,127.393404337978,36.319967047544
60635,MA0101202303A0110049,피자마루,,I2,음식,I210,기타 간이,I21003,피자,I56192,"피자, 햄버거, 샌드위치 및 유사 음식점업",30,대전광역시,30140,중구,30140575,대흥동,3014010500,대흥동,3014010500109120000,1,대지,912,,대전광역시 중구 대흥동 912,301404295589.0,대전광역시 중구 충무로107번길,100.0,,3014010500104000020000001,센트럴자이,대전광역시 중구 충무로107번길 100,301804,34933,,,,127.425892582015,36.3229130661607,127.425890766539,36.322915936328
60643,MA0101202303A0116394,신포우리만두,문화점,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,30,대전광역시,30140,중구,30140720,문화1동,3014011600,문화동,3014011600100010017,1,대지,1,17.0,대전광역시 중구 문화동 1-17,301403000095.0,대전광역시 중구 계백로,1690.0,,3014011600100010017031178,홈플러스데스콤㈜문화점,대전광역시 중구 계백로 1690,301811,34956,,1,,127.407702803638,36.3202917968177,127.407695880679,36.3202926066275
60676,MA0101202303A0081784,족발생각,,I2,음식,I201,한식,I20103,족발/보쌈,I56111,한식 일반 음식점업,30,대전광역시,30140,중구,30140535,은행선화동,3014010200,선화동,3014010200102010014,1,대지,201,14.0,대전광역시 중구 선화동 201-14,301403165023.0,대전광역시 중구 선화서로,102.0,,3014010200102010014013613,은하수빌,대전광역시 중구 선화서로 102,301825,34846,,,,127.41590911257,36.3324540430102,127.415901778363,36.3324610525458
60715,MA0101202303A0113903,정이네,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,30,대전광역시,30140,중구,30140630,대사동,3014011000,대사동,3014011000102480260,1,대지,248,260.0,대전광역시 중구 대사동 248-260,301404295209.0,대전광역시 중구 대흥로24번길,33.0,,3014011000102480260009024,,대전광역시 중구 대흥로24번길 33,301846,34946,,,,127.417877228711,36.3209366039642,127.417869335734,36.320939036363
60729,MA0101202303A0083965,모모제인식당,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,30,대전광역시,30140,중구,30140575,대흥동,3014010500,대흥동,3014010500104120001,1,대지,412,1.0,대전광역시 중구 대흥동 412-1,301404295201.0,대전광역시 중구 대흥로121번길,30.0,8.0,3014010500104120001000001,,대전광역시 중구 대흥로121번길 30-8,301803,34919,,,,127.425444082992,36.3248395968598,127.425443767473,36.3248449664804
60771,MA0101202303A0095680,라탄커피로스터,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,30,대전광역시,30140,중구,30140575,대흥동,3014010500,대흥동,3014010500104910011,1,대지,491,11.0,대전광역시 중구 대흥동 491-11,301404295358.0,대전광역시 중구 보문로262번길,33.0,,3014010500104910011000001,,대전광역시 중구 보문로262번길 33,301803,34912,,1,,127.42364765404,36.3267956836263,127.42363750018,36.3267984654475
60779,MA0101202303A0085482,철이28호,유천점,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,30,대전광역시,30140,중구,30140700,유천1동,3014011500,유천동,3014011500103230034,1,대지,323,34.0,대전광역시 중구 유천동 323-34,301404295035.0,대전광역시 중구 계백로1565번길,56.0,,3014011500103230034009252,,대전광역시 중구 계백로1565번길 56,301835,34887,,1,,127.393337965838,36.3200485211605,127.393328700418,36.3200509258735
60786,MA0101202303A0037182,페리카나,유천2체인점,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,30,대전광역시,30140,중구,30140710,유천2동,3014011500,유천동,3014011500101860006,1,대지,186,6.0,대전광역시 중구 유천동 186-6,301403000095.0,대전광역시 중구 계백로,1626.0,1.0,3014011500101860006000001,,대전광역시 중구 계백로 1626-1,301833,34966,,1,,127.400696491103,36.318986108246,127.400696539065,36.3189885673045
60799,MA0101202303A0013816,하마당앤요맛,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,30,대전광역시,30140,중구,30140655,용두동,3014011200,용두동,3014011200100970031,1,대지,97,31.0,대전광역시 중구 용두동 97-31,301403165032.0,대전광역시 중구 용두로,50.0,,3014011200100970031000001,,대전광역시 중구 용두로 50,301831,34855,,,,127.407430079987,36.328365681024,127.407428222862,36.3283683444778
60819,MA0101202303A0079491,신가네파전,,I2,음식,I201,한식,I20104,전/부침개,I56111,한식 일반 음식점업,30,대전광역시,30140,중구,30140575,대흥동,3014010500,대흥동,3014010500102460005,1,대지,246,5.0,대전광역시 중구 대흥동 246-5,301404295356.0,대전광역시 중구 보문로254번길,47.0,,3014010500102460005013841,,대전광역시 중구 보문로254번길 47,301804,34915,,1,,127.424643135161,36.326223676517,127.424634032731,36.3262229521903
60859,MA0101202303A0078664,메가엠지씨커피대전부사,오거리점,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,30,대전광역시,30140,중구,30140640,부사동,3014011100,부사동,3014011100101530020,1,대지,153,20.0,대전광역시 중구 부사동 153-20,301403010004.0,대전광역시 중구 대종로,301.0,1.0,3014011100101530020007198,,대전광역시 중구 대종로 301-1,301815,35048,,1,,127.435053671442,36.312799554892,127.435044952743,36.3128046450746
60879,MA0101202303A0014558,커피에반하다,,I2,음식,I212,비알코올 ,I21201,카페,G47991,자동 판매기 운영업,30,대전광역시,30140,중구,30140550,목동,3014010300,목동,3014010300100210028,1,대지,21,28.0,대전광역시 중구 목동 21-28,301403165046.0,대전광역시 중구 목동로,28.0,,3014010300100210028016541,,대전광역시 중구 목동로 28,301808,34816,,1,,127.408248841272,36.3335068795426,127.408241090359,36.333506064601
